aed,aud,bnd,cad,chf,cny,egp,eur,gbp,hkd,idr,inr,jpy,khr,krw,mmk,npr,nzd,php,pkr,sar,sgd,thb,twd,usd,vnd,xdr,date,indicator
,,,,1.7956,,,,4.151,0.3219,,,0.0212,,,,,,,,,1.7724,,,2.4912,,3.5339,1997-01-01,avg
,,,,1.7481,,,,4.0376,0.321,,,0.020471,,,,,,,,,1.7664,,,2.4862,,3.4691,1997-01-01,end
,,,,1.8808,,,,4.3188,0.3267,,,0.021867,,,,,,,,,1.8059,,,2.5265,,3.6385,1997-01-01,high
,,,,1.7352,,,,4.0205,0.3194,,,0.020469,,,,,,,,,1.7604,,,2.4717,,3.469,1997-01-01,low
,,,,1.8808,,,,4.3188,0.3267,,,0.021792,,,,,,,,,1.8059,,,2.5265,,3.6385,1997-01-01,start
,,,,1.7083,,,,4.0368,0.3209,,,0.0202,,,,,,,,,1.7516,,,2.4861,,3.4392,1997-02-01,avg
,,,,1.6794,,,,4.0555,0.3207,,,0.020481,,,,,,,,,1.7403,,,2.4838,,3.4458,1997-02-01,end
,,,,1.7567,,,,4.0925,0.3217,,,0.020481,,,,,,,,,1.7699,,,2.4935,,3.4724,1997-02-01,high
,,,,1.6794,,,,3.9775,0.3199,,,0.019948,,,,,,,,,1.7403,,,2.4773,,3.4208,1997-02-01,low
,,,,1.7429,,,,3.9775,0.3205,,,0.02045,,,,,,,,,1.7638,,,2.4836,,3.4543,1997-02-01,start
,,,,1.6798,,,,4.0429,0.3207,,,0.02062,,,,,,,,,1.7426,,,2.4835,,3.4366,1997-03-01,start
,,,,1.7143,,,,4.0501,0.3207,,,0.02062,,,,,,,,,1.7426,,,2.4835,,3.4381,1997-03-01,high
,,,,1.6641,,,,3.9353,0.3191,,,0.019971,,,,,,,,,1.7121,,,2.4719,,3.3939,1997-03-01,low
,,,,1.6923,,,,3.987,0.3198,,,0.0202,,,,,,,,,1.7245,,,2.4769,,3.4128,1997-03-01,avg
,,,,1.7067,,,,4.0501,0.3199,,,0.019992,,,,,,,,,1.7158,,,2.479,,3.4381,1997-03-01,end
,,,,1.7133,,,,4.0776,0.3221,,,0.0199,,,,,,,,,1.735,,,2.5001,,3.4306,1997-04-01,avg
,,,,1.7041,,,,4.0834,0.3245,,,0.01983,,,,,,,,,1.7384,,,2.5144,,3.4298,1997-04-01,end
,,,,1.7343,,,,4.1039,0.3245,,,0.020213,,,,,,,,,1.7433,,,2.5144,,3.4448,1997-04-01,high
,,,,1.6966,,,,4.0613,0.3112,,,0.019737,,,,,,,,,1.7172,,,2.476,,3.4202,1997-04-01,low
,,,,1.7153,,,,4.0619,0.3195,,,0.020025,,,,,,,,,1.7172,,,2.476,,3.4312,1997-04-01,start
,,,,1.7532,,,,4.0938,0.3238,,,0.0211,,,,,,,,,1.7464,,,2.507,,3.4745,1997-05-01,avg
,,,,1.7786,,,,4.1199,0.3245,,,0.021585,,,,,,,,,1.7582,,,2.514,,3.499,1997-05-01,end
,,,,1.798,,,,4.1412,0.3259,,,0.021912,,,,,,,,,1.7582,,,2.5225,,3.5176,1997-05-01,high
,,,,1.7032,,,,4.0581,0.322,,,0.019797,,,,,,,,,1.7324,,,2.4915,,3.4203,1997-05-01,low
,,,,1.7033,,,,4.0795,0.324,,,0.019797,,,,,,,,,1.7345,,,2.5097,,3.4227,1997-05-01,start
,,,,1.7759,,,,4.1229,0.3249,,,0.02163,,,,,,,,,1.7578,,,2.5155,,3.4874,1997-06-01,start
,,,,1.7367,,,,4.0979,0.3241,,,0.021626,,,,,,,,,1.757,,,2.5091,,3.4772,1997-06-01,low
,,,,1.748,,,,4.1373,0.3249,,,0.022,,,,,,,,,1.763,,,2.5158,,3.4975,1997-06-01,avg
,,,,1.7368,,,,4.1989,0.3257,,,0.022088,,,,,,,,,1.7647,,,2.5235,,3.512,1997-06-01,end
,,,,1.7759,,,,4.2084,0.3257,,,0.022553,,,,,,,,,1.7694,,,2.5235,,3.5163,1997-06-01,high
,,,,1.7389,,,,4.3019,0.3322,,,0.0223,,,,,,,,,1.7747,,,2.5729,,3.5441,1997-07-01,avg
,,,,1.7394,,,,4.3178,0.3403,,,0.022273,,,,,,,,,1.7917,,,2.636,,3.5462,1997-07-01,end
,,,,1.7869,,,,4.4352,0.3424,,,0.022846,,,,,,,,,1.7994,,,2.6504,,3.6208,1997-07-01,high
,,,,1.7102,,,,4.1854,0.3225,,,0.021941,,,,,,,,,1.739,,,2.498,,3.4688,1997-07-01,low
