date,type,value,series
2015-01-01,e0,282255.0,abs
2015-01-01,e1,154769.0,abs
2015-01-01,e2,32731.0,abs
2015-01-01,e3,74978.0,abs
2015-01-01,e4,-2976.0,abs
2015-01-01,e5,196992.0,abs
2015-01-01,e6,174240.0,abs
2015-04-01,e1,-0.5,growth_qoq
2015-04-01,e2,6.8,growth_qoq
2015-04-01,e3,3.4,growth_qoq
2015-04-01,e5,-0.7,growth_qoq
2015-04-01,e6,0.6,growth_qoq
2015-04-01,e6,175303.0,abs
2015-04-01,e5,195711.0,abs
2015-04-01,e4,2021.0,abs
2015-04-01,e3,77560.0,abs
2015-04-01,e2,34967.0,abs
2015-04-01,e1,154020.0,abs
2015-04-01,e0,288975.0,abs
2015-04-01,e0,2.4,growth_qoq
2015-07-01,e3,-1.4,growth_qoq
2015-07-01,e2,2.7,growth_qoq
2015-07-01,e1,6.9,growth_qoq
2015-07-01,e0,3.1,growth_qoq
2015-07-01,e5,7.0,growth_qoq
2015-07-01,e6,6.4,growth_qoq
2015-07-01,e0,297965.0,abs
2015-07-01,e1,164632.0,abs
2015-07-01,e2,35910.0,abs
2015-07-01,e3,76447.0,abs
2015-07-01,e4,-2072.0,abs
2015-07-01,e5,209491.0,abs
2015-07-01,e6,186442.0,abs
2015-10-01,e5,215176.0,abs
2015-10-01,e3,75438.0,abs
2015-10-01,e6,3.4,growth_qoq
2015-10-01,e5,2.7,growth_qoq
2015-10-01,e3,-1.3,growth_qoq
2015-10-01,e2,40.4,growth_qoq
2015-10-01,e4,-2168.0,abs
2015-10-01,e1,161678.0,abs
2015-10-01,e6,192793.0,abs
2015-10-01,e0,3.3,growth_qoq
2015-10-01,e2,50413.0,abs
2015-10-01,e1,-1.8,growth_qoq
2015-10-01,e0,307745.0,abs
2016-01-01,e3,-0.5,growth_qoq
2016-01-01,e2,-33.3,growth_qoq
2016-01-01,e1,0.6,growth_qoq
2016-01-01,e0,-4.4,growth_qoq
2016-01-01,e0,4.3,growth_yoy
2016-01-01,e5,1.0,growth_yoy
2016-01-01,e3,0.1,growth_yoy
2016-01-01,e2,2.8,growth_yoy
2016-01-01,e5,-7.5,growth_qoq
2016-01-01,e6,2.4,growth_yoy
2016-01-01,e1,5.1,growth_yoy
2016-01-01,e6,-7.5,growth_qoq
2016-01-01,e0,294329.0,abs
2016-01-01,e1,162611.0,abs
2016-01-01,e2,33638.0,abs
2016-01-01,e3,75036.0,abs
2016-01-01,e4,2519.0,abs
2016-01-01,e5,198934.0,abs
2016-01-01,e6,178409.0,abs
2016-04-01,e6,2.8,growth_yoy
2016-04-01,e3,6.1,growth_yoy
2016-04-01,e5,2.1,growth_yoy
2016-04-01,e0,4.2,growth_yoy
2016-04-01,e6,180168.0,abs
2016-04-01,e5,199813.0,abs
2016-04-01,e4,-1285.0,abs
2016-04-01,e3,82265.0,abs
2016-04-01,e2,36916.0,abs
2016-04-01,e0,301015.0,abs
2016-04-01,e2,5.6,growth_yoy
2016-04-01,e0,2.3,growth_qoq
2016-04-01,e1,0.5,growth_qoq
2016-04-01,e2,9.7,growth_qoq
2016-04-01,e3,9.6,growth_qoq
2016-04-01,e5,0.4,growth_qoq
2016-04-01,e6,1.0,growth_qoq
2016-04-01,e1,163474.0,abs
2016-04-01,e1,6.1,growth_yoy
2016-07-01,e0,311510.0,abs
2016-07-01,e1,174771.0,abs
2016-07-01,e2,36718.0,abs
2016-07-01,e3,77891.0,abs
2016-07-01,e2,-0.5,growth_qoq
2016-07-01,e0,4.5,growth_yoy
2016-07-01,e1,6.2,growth_yoy
2016-07-01,e2,2.3,growth_yoy
2016-07-01,e3,1.9,growth_yoy
2016-07-01,e5,-0.2,growth_yoy
2016-07-01,e6,-1.4,growth_yoy
2016-07-01,e4,-3149.0,abs
2016-07-01,e5,209054.0,abs
2016-07-01,e6,183775.0,abs
2016-07-01,e3,-5.3,growth_qoq
2016-07-01,e1,6.9,growth_qoq
2016-07-01,e0,3.5,growth_qoq
2016-07-01,e5,4.6,growth_qoq
2016-07-01,e6,2.0,growth_qoq
2016-10-01,e6,7.1,growth_qoq
2016-10-01,e2,31.7,growth_qoq
2016-10-01,e3,-1.1,growth_qoq
2016-10-01,e5,5.4,growth_qoq
2016-10-01,e1,-1.9,growth_qoq
2016-10-01,e0,3.5,growth_qoq
2016-10-01,e1,6.0,growth_yoy
2016-10-01,e0,4.8,growth_yoy
2016-10-01,e6,196878.0,abs
2016-10-01,e2,-4.1,growth_yoy
2016-10-01,e3,2.1,growth_yoy
2016-10-01,e5,2.4,growth_yoy
2016-10-01,e6,2.1,growth_yoy
2016-10-01,e5,220354.0,abs
2016-10-01,e4,2212.0,abs
