date,value,sector,series
2015-01-01,282255.0,p0,abs
2015-01-01,21691.0,p1,abs
2015-01-01,26879.0,p2,abs
2015-01-01,62333.0,p3,abs
2015-01-01,13728.0,p4,abs
2015-01-01,154469.0,p5,abs
2015-01-01,3154.0,p6,abs
2015-04-01,-4.3,p2,growth_qoq
2015-04-01,5.4,p3,growth_qoq
2015-04-01,-5.8,p4,growth_qoq
2015-04-01,1.6,p5,growth_qoq
2015-04-01,16.6,p6,growth_qoq
2015-04-01,10.6,p1,growth_qoq
2015-04-01,2.4,p0,growth_qoq
2015-04-01,12927.0,p4,abs
2015-04-01,65695.0,p3,abs
2015-04-01,25729.0,p2,abs
2015-04-01,24001.0,p1,abs
2015-04-01,288975.0,p0,abs
2015-04-01,156945.0,p5,abs
2015-04-01,3678.0,p6,abs
2015-07-01,297965.0,p0,abs
2015-07-01,-0.5,p6,growth_qoq
2015-07-01,3.3,p5,growth_qoq
2015-07-01,10.9,p4,growth_qoq
2015-07-01,0.2,p3,growth_qoq
2015-07-01,-5.7,p2,growth_qoq
2015-07-01,3.1,p0,growth_qoq
2015-07-01,15.3,p1,growth_qoq
2015-07-01,27685.0,p1,abs
2015-07-01,65851.0,p3,abs
2015-07-01,14332.0,p4,abs
2015-07-01,162177.0,p5,abs
2015-07-01,3660.0,p6,abs
2015-07-01,24260.0,p2,abs
2015-10-01,170292.0,p5,abs
2015-10-01,307745.0,p0,abs
2015-10-01,24161.0,p1,abs
2015-10-01,4207.0,p6,abs
2015-10-01,14395.0,p4,abs
2015-10-01,3.3,p0,growth_qoq
2015-10-01,-12.7,p1,growth_qoq
2015-10-01,8.0,p2,growth_qoq
2015-10-01,4.0,p3,growth_qoq
2015-10-01,0.4,p4,growth_qoq
2015-10-01,5.0,p5,growth_qoq
2015-10-01,14.9,p6,growth_qoq
2015-10-01,68500.0,p3,abs
2015-10-01,26191.0,p2,abs
2016-01-01,-4.4,p0,growth_qoq
2016-01-01,21208.0,p1,abs
2016-01-01,-4.8,p6,growth_qoq
2016-01-01,-4.5,p5,growth_qoq
2016-01-01,-4.9,p3,growth_qoq
2016-01-01,1.5,p2,growth_qoq
2016-01-01,27.0,p6,growth_yoy
2016-01-01,5.2,p5,growth_yoy
2016-01-01,8.0,p4,growth_yoy
2016-01-01,4.5,p3,growth_yoy
2016-01-01,-1.1,p2,growth_yoy
2016-01-01,-2.2,p1,growth_yoy
2016-01-01,4.3,p0,growth_yoy
2016-01-01,294329.0,p0,abs
2016-01-01,3.0,p4,growth_qoq
2016-01-01,-12.2,p1,growth_qoq
2016-01-01,26586.0,p2,abs
2016-01-01,65146.0,p3,abs
2016-01-01,14825.0,p4,abs
2016-01-01,162558.0,p5,abs
2016-01-01,4006.0,p6,abs
2016-04-01,-1.0,p2,growth_qoq
2016-04-01,2.3,p0,growth_qoq
2016-04-01,6.6,p1,growth_qoq
