date,index,series,section,index_sa
2010-01-01,92.7,abs,A,
2010-02-01,93.3,abs,A,
2010-03-01,96.1,abs,A,
2010-04-01,95.3,abs,A,
2010-05-01,94.1,abs,A,
2010-06-01,94.4,abs,A,
2010-07-01,93.7,abs,A,
2010-08-01,98.5,abs,A,
2010-09-01,99.4,abs,A,
2010-10-01,104.6,abs,A,
2010-11-01,114.2,abs,A,
2010-12-01,123.8,abs,A,
2011-01-01,131.5,abs,A,
2011-02-01,134.1,abs,A,
2011-03-01,123.0,abs,A,
2011-04-01,121.0,abs,A,
2011-05-01,121.4,abs,A,
2011-06-01,120.6,abs,A,
2011-07-01,115.6,abs,A,
2011-08-01,116.6,abs,A,
2011-09-01,116.1,abs,A,
2011-10-01,109.4,abs,A,
2011-11-01,113.2,abs,A,
2011-12-01,113.1,abs,A,
2012-01-01,115.5,abs,A,
2012-02-01,114.1,abs,A,
2012-03-01,118.3,abs,A,
2012-04-01,120.9,abs,A,
2012-05-01,114.8,abs,A,
2012-06-01,107.5,abs,A,
2012-07-01,108.7,abs,A,
2012-08-01,102.9,abs,A,
2012-09-01,100.6,abs,A,
2012-10-01,90.7,abs,A,
2012-11-01,89.4,abs,A,
2012-12-01,87.3,abs,A,
2013-01-01,91.6,abs,A,
2013-02-01,95.2,abs,A,
2013-03-01,93.4,abs,A,
2013-04-01,91.7,abs,A,
2013-05-01,91.7,abs,A,
2013-06-01,94.4,abs,A,
2013-07-01,93.2,abs,A,
2013-08-01,93.0,abs,A,
2013-09-01,93.8,abs,A,
2013-10-01,93.4,abs,A,
2013-11-01,98.4,abs,A,
2013-12-01,100.2,abs,A,
2014-01-01,99.9,abs,A,
2014-02-01,102.1,abs,A,
2014-03-01,107.0,abs,A,
2014-04-01,102.1,abs,A,
2014-05-01,99.5,abs,A,
2014-06-01,97.0,abs,A,
2014-07-01,95.4,abs,A,
2014-08-01,89.5,abs,A,
2014-09-01,87.4,abs,A,
2014-10-01,89.3,abs,A,
2014-11-01,90.8,abs,A,
2014-12-01,90.9,abs,A,
2015-01-01,95.2,abs,A,
2015-02-01,95.0,abs,A,
2015-03-01,95.0,abs,A,
2015-04-01,92.0,abs,A,
2015-05-01,91.4,abs,A,
2015-06-01,93.7,abs,A,
2015-07-01,92.1,abs,A,
2015-08-01,87.5,abs,A,
2015-09-01,88.4,abs,A,
2015-10-01,93.1,abs,A,
2015-11-01,91.0,abs,A,
2015-12-01,92.5,abs,A,
2016-01-01,95.8,abs,A,
2016-02-01,99.0,abs,A,
2016-03-01,102.9,abs,A,
2016-04-01,105.8,abs,A,
2016-05-01,105.9,abs,A,
2016-06-01,104.9,abs,A,
2016-07-01,102.0,abs,A,
2016-08-01,107.9,abs,A,
2016-09-01,113.4,abs,A,
2016-10-01,108.8,abs,A,
2016-11-01,115.3,abs,A,
2016-12-01,124.4,abs,A,
2017-01-01,127.8,abs,A,123.4
2017-02-01,128.0,abs,A,123.6
2017-03-01,117.1,abs,A,113.0
2017-04-01,110.0,abs,A,107.6
2017-05-01,112.7,abs,A,111.9
2017-06-01,110.1,abs,A,110.4
2017-07-01,110.0,abs,A,111.3
2017-08-01,111.4,abs,A,116.1
2017-09-01,115.1,abs,A,118.2
2017-10-01,113.5,abs,A,117.9
2017-11-01,113.2,abs,A,115.2
2017-12-01,107.2,abs,A,107.2
2018-01-01,110.1,abs,A,106.2
2018-02-01,107.3,abs,A,103.6
2018-03-01,104.2,abs,A,100.7
2018-04-01,102.5,abs,A,100.3
2018-05-01,101.9,abs,A,101.2
2018-06-01,99.0,abs,A,99.4
2018-07-01,97.4,abs,A,98.6
2018-08-01,96.7,abs,A,100.8
2018-09-01,96.2,abs,A,98.7
2018-10-01,93.5,abs,A,97.0
2018-11-01,87.5,abs,A,89.0
2018-12-01,88.3,abs,A,88.2
2019-01-01,94.7,abs,A,90.7
2019-02-01,94.9,abs,A,90.9
2019-03-01,89.4,abs,A,89.5
2019-04-01,90.3,abs,A,90.3
2019-05-01,88.9,abs,A,90.0
2019-06-01,89.9,abs,A,92.3
2019-07-01,91.1,abs,A,93.5
2019-08-01,95.8,abs,A,96.5
2019-09-01,95.1,abs,A,94.5
2019-10-01,94.9,abs,A,95.4
2019-11-01,104.9,abs,A,105.3
2019-12-01,107.6,abs,A,108.9
2020-01-01,111.7,abs,A,106.9
2020-02-01,103.6,abs,A,99.2
2020-03-01,101.4,abs,A,101.7
2020-04-01,98.2,abs,A,98.4
2020-05-01,93.8,abs,A,95.0
2020-06-01,103.5,abs,A,106.4
2020-07-01,104.4,abs,A,107.2
2020-08-01,110.7,abs,A,111.3
2020-09-01,113.5,abs,A,112.5
2020-10-01,114.8,abs,A,115.4
2020-11-01,127.5,abs,A,127.9
2020-12-01,132.9,abs,A,134.6
2021-01-01,136.9,abs,A,129.1
2021-02-01,139.9,abs,A,135.5
2021-03-01,143.1,abs,A,144.7
2021-04-01,147.1,abs,A,150.5
2021-05-01,150.1,abs,A,154.0
2021-06-01,134.3,abs,A,138.1
2021-07-01,137.3,abs,A,141.4
2021-08-01,141.2,abs,A,141.7
2021-09-01,141.6,abs,A,142.1
2021-10-01,143.3,abs,A,146.5
2021-11-01,151.8,abs,A,147.5
2021-12-01,147.4,abs,A,144.1
2022-01-01,154.0,abs,A,145.2
2022-02-01,164.6,abs,A,159.5
2022-03-01,178.7,abs,A,178.3
2022-04-01,173.6,abs,A,175.0
2022-05-01,175.2,abs,A,179.1
2022-06-01,158.6,abs,A,162.7
2022-07-01,123.2,abs,A,128.2
2022-08-01,126.3,abs,A,127.6
2022-09-01,119.6,abs,A,121.8
2022-10-01,117.2,abs,A,121.2
2022-11-01,123.7,abs,A,119.7
2022-12-01,121.6,abs,A,118.1
2023-01-01,121.8,abs,A,116.067
2023-02-01,121.7,abs,A,117.41
2023-03-01,127.5,abs,A,124.487
2023-04-01,128.5,abs,A,124.596
